ID	4A.kraken.report
d__Eukaryota|k__Viridiplantae|p__Streptophyta|o__Rosales|f__Rosaceae|g__Fragaria|s__Fragaria vesca	1
d__Eukaryota|k__Viridiplantae|p__Streptophyta|o__Rosales|f__Rosaceae|g__Prunus	7
d__Eukaryota|k__Viridiplantae|p__Streptophyta|o__Rosales|f__Rosaceae|g__Prunus|s__Prunus mume	4
d__Eukaryota|k__Viridiplantae|p__Streptophyta|o__Rosales|f__Rosaceae|g__Prunus|s__Prunus persica	3
d__Eukaryota|k__Viridiplantae|p__Streptophyta|o__Solanales	297
d__Eukaryota|k__Viridiplantae|p__Streptophyta|o__Solanales|f__Solanaceae	297
d__Eukaryota|k__Viridiplantae|p__Streptophyta|o__Solanales|f__Solanaceae|g__Capsicum	149
d__Eukaryota|k__Viridiplantae|p__Streptophyta|o__Solanales|f__Solanaceae|g__Capsicum|s__Capsicum annuum	149
d__Eukaryota|k__Viridiplantae|p__Streptophyta|o__Solanales|f__Solanaceae|g__Nicotiana	82
d__Eukaryota|k__Viridiplantae|p__Streptophyta|o__Solanales|f__Solanaceae|g__Nicotiana|s__Nicotiana attenuata	82
d__Eukaryota|k__Viridiplantae|p__Streptophyta|o__Solanales|f__Solanaceae|g__Solanum	41
d__Eukaryota|k__Viridiplantae|p__Streptophyta|o__Solanales|f__Solanaceae|g__Solanum|s__Solanum lycopersicum	14
d__Eukaryota|k__Viridiplantae|p__Streptophyta|o__Solanales|f__Solanaceae|g__Solanum|s__Solanum pennellii	4
d__Eukaryota|k__Viridiplantae|p__Streptophyta|o__Vitales	1
d__Eukaryota|k__Viridiplantae|p__Streptophyta|o__Vitales|f__Vitaceae	1
d__Eukaryota|k__Viridiplantae|p__Streptophyta|o__Vitales|f__Vitaceae|g__Vitis	1
d__Eukaryota|k__Viridiplantae|p__Streptophyta|o__Vitales|f__Vitaceae|g__Vitis|s__Vitis vinifera	1
d__Eukaryota|o__Dictyosteliales	202
d__Eukaryota|o__Dictyosteliales|f__Dictyosteliaceae	202
d__Eukaryota|o__Dictyosteliales|f__Dictyosteliaceae|g__Dictyostelium	202
d__Eukaryota|o__Dictyosteliales|f__Dictyosteliaceae|g__Dictyostelium|s__Dictyostelium discoideum	202
d__Eukaryota|o__Kinetoplastida	52
d__Eukaryota|o__Kinetoplastida|f__Trypanosomatidae	52
d__Eukaryota|o__Kinetoplastida|f__Trypanosomatidae|g__Leishmania	51
d__Eukaryota|p__Apicomplexa	198
d__Eukaryota|p__Apicomplexa|c__Aconoidasida	190
d__Eukaryota|p__Apicomplexa|c__Aconoidasida|o__Haemosporida	75
d__Eukaryota|p__Apicomplexa|c__Aconoidasida|o__Haemosporida|f__Plasmodiidae	75
d__Eukaryota|p__Apicomplexa|c__Aconoidasida|o__Haemosporida|f__Plasmodiidae|g__Plasmodium	75
d__Eukaryota|p__Apicomplexa|c__Aconoidasida|o__Haemosporida|f__Plasmodiidae|g__Plasmodium|s__Plasmodium berghei	2
d__Eukaryota|p__Apicomplexa|c__Aconoidasida|o__Haemosporida|f__Plasmodiidae|g__Plasmodium|s__Plasmodium cynomolgi	5
d__Eukaryota|p__Apicomplexa|c__Aconoidasida|o__Haemosporida|f__Plasmodiidae|g__Plasmodium|s__Plasmodium falciparum	22
d__Eukaryota|p__Apicomplexa|c__Aconoidasida|o__Haemosporida|f__Plasmodiidae|g__Plasmodium|s__Plasmodium knowlesi	42
d__Eukaryota|p__Apicomplexa|c__Aconoidasida|o__Haemosporida|f__Plasmodiidae|g__Plasmodium|s__Plasmodium vivax	1
d__Eukaryota|p__Apicomplexa|c__Aconoidasida|o__Haemosporida|f__Plasmodiidae|g__Plasmodium|s__Plasmodium yoelii	3
d__Eukaryota|p__Apicomplexa|c__Aconoidasida|o__Piroplasmida	113
d__Eukaryota|p__Apicomplexa|c__Aconoidasida|o__Piroplasmida|f__Theileriidae	113
d__Eukaryota|p__Apicomplexa|c__Aconoidasida|o__Piroplasmida|f__Theileriidae|g__Theileria	113
d__Eukaryota|p__Apicomplexa|c__Aconoidasida|o__Piroplasmida|f__Theileriidae|g__Theileria|s__Theileria orientalis	113
d__Eukaryota|p__Apicomplexa|c__Conoidasida	8
d__Eukaryota|p__Apicomplexa|c__Conoidasida|o__Eucoccidiorida	8
d__Eukaryota|p__Apicomplexa|c__Conoidasida|o__Eucoccidiorida|f__Sarcocystidae	8
d__Eukaryota|p__Apicomplexa|c__Conoidasida|o__Eucoccidiorida|f__Sarcocystidae|g__Toxoplasma	8
d__Eukaryota|p__Apicomplexa|c__Conoidasida|o__Eucoccidiorida|f__Sarcocystidae|g__Toxoplasma|s__Toxoplasma gondii	8
d__Eukaryota|p__Bacillariophyta	3
d__Eukaryota|p__Bacillariophyta|c__Bacillariophyceae	2
d__Eukaryota|p__Bacillariophyta|c__Bacillariophyceae|o__Naviculales	2
d__Eukaryota|p__Bacillariophyta|c__Bacillariophyceae|o__Naviculales|f__Phaeodactylaceae	2
d__Eukaryota|p__Bacillariophyta|c__Bacillariophyceae|o__Naviculales|f__Phaeodactylaceae|g__Phaeodactylum	2
d__Eukaryota|p__Bacillariophyta|c__Bacillariophyceae|o__Naviculales|f__Phaeodactylaceae|g__Phaeodactylum|s__Phaeodactylum tricornutum	2
d__Eukaryota|p__Bacillariophyta|c__Coscinodiscophyceae	1
d__Eukaryota|p__Bacillariophyta|c__Coscinodiscophyceae|o__Thalassiosirales	1
d__Eukaryota|p__Bacillariophyta|c__Coscinodiscophyceae|o__Thalassiosirales|f__Thalassiosiraceae	1
d__Eukaryota|p__Bacillariophyta|c__Coscinodiscophyceae|o__Thalassiosirales|f__Thalassiosiraceae|g__Thalassiosira	1
d__Eukaryota|p__Bacillariophyta|c__Coscinodiscophyceae|o__Thalassiosirales|f__Thalassiosiraceae|g__Thalassiosira|s__Thalassiosira pseudonana	1
d__Eukaryota|p__Cryptophyta	4
d__Eukaryota|p__Cryptophyta|o__Cryptomonadales	2
d__Eukaryota|p__Cryptophyta|o__Cryptomonadales|f__Cryptomonadaceae	2
d__Eukaryota|p__Cryptophyta|o__Cryptomonadales|f__Cryptomonadaceae|g__Cryptomonas	2
d__Eukaryota|p__Cryptophyta|o__Cryptomonadales|f__Cryptomonadaceae|g__Cryptomonas|s__Cryptomonas paramecium	2
d__Eukaryota|p__Cryptophyta|o__Pyrenomonadales	2
d__Eukaryota|p__Cryptophyta|o__Pyrenomonadales|f__Geminigeraceae	2
d__Eukaryota|p__Cryptophyta|o__Pyrenomonadales|f__Geminigeraceae|g__Guillardia	2
d__Eukaryota|p__Cryptophyta|o__Pyrenomonadales|f__Geminigeraceae|g__Guillardia|s__Guillardia theta	2
d__Eukaryota|p__Rhodophyta	151
d__Eukaryota|p__Rhodophyta|c__Bangiophyceae	151
d__Eukaryota|p__Rhodophyta|c__Bangiophyceae|o__Cyanidiales	151
d__Eukaryota|p__Rhodophyta|c__Bangiophyceae|o__Cyanidiales|f__Cyanidiaceae	151
d__Eukaryota|p__Rhodophyta|c__Bangiophyceae|o__Cyanidiales|f__Cyanidiaceae|g__Cyanidioschyzon	151
d__Eukaryota|p__Rhodophyta|c__Bangiophyceae|o__Cyanidiales|f__Cyanidiaceae|g__Cyanidioschyzon|s__Cyanidioschyzon merolae	151
